account_id,customer_id,branch_id,account_type,account_status,opened_date,current_balance
500001,100717,B014,SALARY,ACTIVE,2021-06-10,42917.94
500002,109178,B007,SAVINGS,ACTIVE,2023-09-18,45632.54
500003,107491,B012,SAVINGS,ACTIVE,2024-10-22,206543.27
500004,109020,B004,SALARY,ACTIVE,2024-11-17,34356.15
500005,107041,B010,SAVINGS,ACTIVE,2021-11-09,23534.57
500006,109586,B011,SAVINGS,CLOSED,2021-02-01,114215.83
500007,109006,B003,SALARY,ACTIVE,2020-01-04,27969.24
500008,101802,B010,SALARY,ACTIVE,2025-12-12,22106.83
500009,105152,B016,SAVINGS,ACTIVE,2024-02-09,66521.96
500010,100189,B007,SAVINGS,ACTIVE,2021-12-16,10814.86
500011,100139,B002,SAVINGS,ACTIVE,2025-12-18,4461.77
500012,107428,B006,SAVINGS,ACTIVE,2019-01-16,71268.76
500013,104767,B016,SAVINGS,ACTIVE,2020-10-29,217243.74
500014,102708,B020,SALARY,ACTIVE,2024-03-27,247634.5
500015,104566,B018,SAVINGS,ACTIVE,2025-11-12,13314.71
500016,106288,B008,SALARY,ACTIVE,2025-05-26,23306.91
500017,108200,B011,CURRENT,ACTIVE,2020-07-10,3489.44
500018,105338,B012,SALARY,ACTIVE,2023-11-21,21920.98
500019,104964,B014,SAVINGS,ACTIVE,2020-06-23,766489.88
500020,105784,B002,SAVINGS,BLOCKED,2023-10-19,14855.04
500021,101410,B010,SALARY,ACTIVE,2021-04-07,240789.59
500022,104961,B010,SAVINGS,ACTIVE,2023-01-08,5924.74
500023,103013,B005,SAVINGS,ACTIVE,2024-04-16,34847.39
500024,100103,B011,SAVINGS,ACTIVE,2022-08-08,32150.5
500025,106902,B002,SAVINGS,BLOCKED,2023-06-26,83981.54
500026,102673,B008,SALARY,ACTIVE,2019-05-28,17165.49
500027,106517,B014,CURRENT,ACTIVE,2025-04-23,3383.53
500028,109222,B001,SAVINGS,ACTIVE,2022-08-06,148723.46
500029,100126,B003,SAVINGS,ACTIVE,2024-02-25,9647.57
500030,104228,B011,CURRENT,ACTIVE,2025-05-02,8905.33
500031,102874,B011,SAVINGS,ACTIVE,2023-08-05,13926.64
500032,103169,B001,SAVINGS,ACTIVE,2020-03-09,7236.89
500033,109760,B005,SAVINGS,ACTIVE,2019-11-09,9190.31
500034,100239,B005,SAVINGS,ACTIVE,2019-07-19,24433.96
500035,105663,B001,SALARY,ACTIVE,2024-03-27,76593.6
500036,103712,B019,SALARY,ACTIVE,2021-02-17,20420.89
500037,100916,B017,SALARY,ACTIVE,2019-12-06,6736.54
500038,102223,B007,SAVINGS,CLOSED,2024-05-08,5180.46
500039,101644,B009,SALARY,ACTIVE,2019-06-18,86091.86
500040,105209,B009,CURRENT,ACTIVE,2025-12-10,9438.36
500041,102064,B001,SALARY,ACTIVE,2026-02-18,47413.18
500042,106925,B011,SALARY,ACTIVE,2020-09-19,17875.99
500043,101758,B006,SAVINGS,ACTIVE,2020-10-23,45370.17
500044,100614,B018,SAVINGS,ACTIVE,2019-12-10,57805.57
500045,107229,B012,SAVINGS,ACTIVE,2019-01-12,40368.81
500046,107120,B006,SALARY,ACTIVE,2025-11-09,15001.73
500047,102361,B013,SAVINGS,ACTIVE,2025-01-14,27704.98
500048,100226,B020,SAVINGS,ACTIVE,2025-08-08,17179.08
500049,104098,B018,SAVINGS,ACTIVE,2020-08-05,93509.65
500050,106837,B015,SAVINGS,ACTIVE,2023-01-25,48176.48
500051,100615,B011,SAVINGS,ACTIVE,2019-02-09,4519.29
500052,101547,B003,SAVINGS,ACTIVE,2023-09-16,71000.07
500053,105890,B007,SALARY,ACTIVE,2026-03-08,40660.47
500054,103482,B016,SAVINGS,ACTIVE,2023-01-09,2344.9
500055,108901,B006,SAVINGS,ACTIVE,2020-06-02,12005.5
500056,101229,B015,SAVINGS,ACTIVE,2019-07-13,91245.02
500057,107406,B016,SAVINGS,ACTIVE,2020-10-13,35167.29
500058,105544,B013,SAVINGS,ACTIVE,2024-02-07,112764.49
500059,102736,B008,SAVINGS,ACTIVE,2019-10-01,50581.64
500060,107918,B008,CURRENT,ACTIVE,2024-01-10,38858.16
500061,102397,B016,SAVINGS,ACTIVE,2020-01-20,50728.16
500062,105604,B016,CURRENT,CLOSED,2025-09-03,17692.68
500063,104509,B002,SAVINGS,ACTIVE,2023-11-23,85100.88
500064,109033,B018,SALARY,ACTIVE,2023-01-19,31019.17
500065,101083,B013,SAVINGS,ACTIVE,2020-08-11,34889.79
500066,100321,B002,SAVINGS,ACTIVE,2024-11-21,121090.54
500067,106411,B003,SAVINGS,ACTIVE,2023-01-24,73134.88
500068,103573,B008,SAVINGS,ACTIVE,2025-07-19,45117.63
500069,109892,B017,SAVINGS,ACTIVE,2021-04-05,13234.99
500070,103798,B011,SAVINGS,ACTIVE,2019-04-27,16945.09
500071,104670,B012,SAVINGS,ACTIVE,2020-12-05,27288.19
500072,103192,B020,SAVINGS,ACTIVE,2020-06-25,4059.04
500073,105444,B001,SAVINGS,ACTIVE,2025-08-15,56599.61
500074,104210,B010,SAVINGS,ACTIVE,2021-08-28,17888.16
500075,100514,B003,CURRENT,ACTIVE,2019-06-09,39077.16
500076,105716,B007,SAVINGS,ACTIVE,2023-02-10,13562.85
500077,104665,B002,SALARY,ACTIVE,2025-02-16,147647.66
500078,101940,B002,SAVINGS,ACTIVE,2022-09-11,6148.31
500079,104494,B019,SAVINGS,ACTIVE,2025-08-13,1679.95
500080,102006,B013,SAVINGS,ACTIVE,2024-05-18,82872.87
500081,100730,B019,SAVINGS,ACTIVE,2022-05-30,4864.95
500082,101418,B017,SAVINGS,ACTIVE,2021-03-30,9097.55
500083,107874,B008,SAVINGS,ACTIVE,2022-01-20,2947.11
500084,102975,B020,SAVINGS,ACTIVE,2024-06-27,90351.58
500085,104786,B002,SAVINGS,ACTIVE,2021-12-24,64485.18
500086,106451,B013,SALARY,ACTIVE,2025-07-11,73348.95
500087,106116,B001,SAVINGS,ACTIVE,2024-05-31,104144.17
500088,105147,B013,SAVINGS,ACTIVE,2025-12-12,64692.71
500089,103037,B014,SAVINGS,ACTIVE,2019-03-02,18029.38
500090,102873,B012,SAVINGS,ACTIVE,2020-08-25,32926.42
500091,104418,B007,SAVINGS,ACTIVE,2023-11-19,65168.31
500092,109599,B016,SAVINGS,ACTIVE,2024-06-14,41804.33
500093,103855,B014,SAVINGS,ACTIVE,2023-01-22,12128.27
500094,106336,B011,CURRENT,ACTIVE,2024-01-08,28406.45
500095,103200,B009,SAVINGS,ACTIVE,2024-09-01,31436.64
500096,102696,B006,SAVINGS,ACTIVE,2025-12-06,75355.92
500097,106398,B009,SAVINGS,CLOSED,2026-05-17,35434.39
500098,100460,B008,SAVINGS,ACTIVE,2023-09-24,36095.24
500099,103034,B014,SAVINGS,ACTIVE,2019-05-20,11704.05
500100,102354,B015,SALARY,ACTIVE,2022-11-10,42880.71
500101,101292,B018,SAVINGS,ACTIVE,2019-07-03,17598.92
500102,104881,B017,SAVINGS,BLOCKED,2022-02-15,49900.46
500103,101966,B010,SAVINGS,ACTIVE,2022-12-20,22936.97
500104,102062,B013,SAVINGS,CLOSED,2025-01-01,11064.51
500105,106240,B020,CURRENT,ACTIVE,2024-01-04,20971.85
500106,103235,B015,SAVINGS,ACTIVE,2020-07-08,14772.18
