customer_id,customer_name,customer_segment,city,state,date_of_birth,onboarding_date,customer_status
100001,Customer_00001,RETAIL,Mumbai,Maharashtra,1988-09-05,2025-11-30,INACTIVE
100002,Customer_00002,PREMIUM,Kolkata,West Bengal,1993-06-09,2024-11-12,INACTIVE
100003,Customer_00003,PREMIUM,Hyderabad,Telangana,2014-07-09,2021-05-11,ACTIVE
100004,Customer_00004,RETAIL,Bangalore,Karnataka,1983-05-22,2026-07-17,ACTIVE
100005,Customer_00005,RETAIL,Bangalore,Karnataka,1983-08-16,2026-07-10,ACTIVE
100006,Customer_00006,RETAIL,Kolkata,West Bengal,1991-07-28,2020-04-08,ACTIVE
100007,Customer_00007,PREMIUM,Mumbai,Maharashtra,2003-12-07,2020-03-02,ACTIVE
100008,Customer_00008,PREMIUM,Hyderabad,Telangana,2012-04-17,2021-08-10,ACTIVE
100009,Customer_00009,PREMIUM,Pune,Maharashtra,2002-04-08,2025-03-20,ACTIVE
100010,Customer_00010,RETAIL,Mumbai,Maharashtra,1999-06-07,2023-12-05,ACTIVE
100011,Customer_00011,RETAIL,Chennai,Tamil Nadu,2014-12-07,2023-05-15,ACTIVE
100012,Customer_00012,RETAIL,Ahmedabad,Gujarat,1986-03-18,2022-09-23,ACTIVE
100013,Customer_00013,RETAIL,Hyderabad,Telangana,2016-03-12,2023-02-25,ACTIVE
100014,Customer_00014,PREMIUM,Kolkata,West Bengal,1992-01-02,2024-03-10,ACTIVE
100015,Customer_00015,RETAIL,Hyderabad,Telangana,1990-07-01,2020-06-02,ACTIVE
100016,Customer_00016,RETAIL,Kolkata,West Bengal,2018-04-29,2023-11-08,ACTIVE
100017,Customer_00017,RETAIL,Chennai,Tamil Nadu,2005-09-09,2021-06-14,ACTIVE
100018,Customer_00018,RETAIL,Pune,Maharashtra,1996-11-26,2025-03-06,ACTIVE
100019,Customer_00019,RETAIL,Kolkata,West Bengal,1992-09-21,2021-04-13,ACTIVE
100020,Customer_00020,RETAIL,Bangalore,Karnataka,1997-04-19,2020-06-19,ACTIVE
100021,Customer_00021,BUSINESS,Chennai,Tamil Nadu,2011-09-04,2022-11-09,ACTIVE
100022,Customer_00022,PREMIUM,Delhi,Delhi,1985-06-14,2022-11-23,ACTIVE
100023,Customer_00023,PREMIUM,Pune,Maharashtra,1986-04-29,2023-05-29,ACTIVE
100024,Customer_00024,RETAIL,Ahmedabad,Gujarat,1991-09-03,2025-08-26,ACTIVE
100025,Customer_00025,RETAIL,Kolkata,West Bengal,1998-12-20,2024-08-06,ACTIVE
100026,Customer_00026,RETAIL,Hyderabad,Telangana,2012-08-15,2022-05-20,ACTIVE
100027,Customer_00027,RETAIL,Bangalore,Karnataka,1987-10-27,2024-10-09,ACTIVE
100028,Customer_00028,RETAIL,Kolkata,West Bengal,2011-06-14,2023-04-24,ACTIVE
100029,Customer_00029,RETAIL,Chennai,Tamil Nadu,2016-06-10,2021-06-21,ACTIVE
100030,Customer_00030,RETAIL,Bangalore,Karnataka,1997-01-18,2020-02-21,ACTIVE
100031,Customer_00031,RETAIL,Bangalore,Karnataka,2018-08-23,2020-01-10,ACTIVE
100032,Customer_00032,PREMIUM,Pune,Maharashtra,2015-11-12,2021-06-22,ACTIVE
100033,Customer_00033,RETAIL,Mumbai,Maharashtra,2011-11-26,2025-05-19,ACTIVE
100034,Customer_00034,RETAIL,Chennai,Tamil Nadu,1994-10-12,2023-01-17,ACTIVE
100035,Customer_00035,RETAIL,Ahmedabad,Gujarat,1991-07-06,2022-12-20,ACTIVE
100036,Customer_00036,RETAIL,Mumbai,Maharashtra,2014-08-29,2022-08-15,ACTIVE
100037,Customer_00037,PREMIUM,Kolkata,West Bengal,1997-04-18,2021-09-06,ACTIVE
